Record_Type,Current_Location,Animal_Name,Age,Animal_Gender,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,Memo,animal_type,Animal_Breed,id
FOUND,,Jolie,NO AGE,Spayed Female,White,31-Jul-25,Received on,25400 block of  LAKE FENWICK RD S,KENT,WA,98032,Received on: 2025-07-31<p/> Found Near: 25400 block of  LAKE FENWICK RD S<p/> Description: White Spayed Female Persian Cat<p/> Age: NO AGE<p/>,Deceased Cat,Persian,233026
FOUND,In Public Home,Siyiya,Unknown<p/>,Spayed Female,Tricolor,25-Jun-25,Date Found,AUBURN-ENUMCLAW  RD,,WA,,"Description: Black tri mini Aussie/ mini American shepherd Found on Auburn enumclaw rd on 6/25 around 8pm. Mild limping but no obvious injuries. Microchip was Found at vet clinic but no answer to message left. <p/>Age: Unknown<p/>Found Near: Auburn-enumclaw rd , Tacoma WA  98408<p/>Found Date: 2025-06-25<p/>",Dog,Australian Shepherd / Mix,461362
FOUND,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Copper,6 YEARS 4 MONTHS,Neutered Male,Org Tabby / White,6-Aug-25,Received on,700 block of  HI CREST DR,AUBURN,WA,98001,"Received on: 2025-08-06<p/> Found Near: 700 block of  HI CREST DR<p/> Description: Org Tabby / White Neutered Male Domestic Shorthair Cat<p/> Age: 6 YEARS 4 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",Cat,Domestic Shorthair,582672
LOST,LOST,Bean,Under 1 year<p/>,Male,Unknown,25-Nov-21,Date Lost,179TH 179TH,,WA,,"Description: Tan in color, white on his chest, there is a little white on his toes. He is wearing a blue collar. He is 6 months old. He is not shipped yet and he is unaltered.<p/>Age: Under 1 year<p/>Location Lost: 179th, Monroe WA  98272<p/>Lost Date: 2032-11-23<p/>",Dog,American Staffordshire,653498
FOUND,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Marina,2 YEARS -1 MONTHS,Spayed Female,Seal Pt,7-Aug-25,Received on,21900 block of  SE WAX RD,MAPLE VALLEY,WA,98038,"Received on: 2025-08-07<p/> Found Near: 21900 block of  SE WAX RD<p/> Description: Seal Pt Spayed Female Domestic Mediumhair Cat<p/> Age: 2 YEARS -1 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",Cat,Domestic Mediumhair,675301
FOUND,,Zander,2 YEARS 3 MONTHS,Neutered Male,Black,28-Jul-25,Received on,19000 block of  BALLINGER WAY NE,LAKE FOREST PARK,WA,98155,Received on: 2025-07-28<p/> Found Near: 19000 block of  BALLINGER WAY NE<p/> Description: Black Neutered Male Domestic Shorthair / Mix Cat<p/> Age: 2 YEARS 3 MONTHS<p/>,Deceased Cat,Domestic Shorthair / Mix,700370
ADOPTABLE,In RASKC Foster Home,Raboot,2 YEARS 3 MONTHS,Neutered Male,White,29-Oct-24,Received on,21615 64TH AVE S,KENT,WA,98032,Received on: 2024-10-29<p/> Description: White Neutered Male Rabbit Sh Rabbit Sh<p/> Age: 2 YEARS 3 MONTHS<p/> Adoption Fee: $30<p/> Current Location: In RASKC Foster Home <p/>Hi there! My name is Raboot and I`m a rabbit who is looking for a forever home with my bonded friend named Snoopy.<p/><p/>I am looking for someone who can provide us with plenty of love and attention. We love to snuggle each other but theres room for you too!<p/><p/>We are gentle souls who like to take things slow. I am the outgoing one and Snoopy is kind of shy. My foster mom tells me Im hilarious and adorable. I love to run and play and would love a home with lots of space for us.<p/><p/>We are currently with a foster - Please submit an adoption interest form and our foster parent will be in touch with you!<p/>,Rabbit Sh,Rabbit Sh,706451
ADOPTABLE,In RASKC Foster Home,Rosie,4 YEARS 2 MONTHS,Spayed Female,Black / Brown,3-Jan-25,Received on,21615 64TH AVE S,KENT,WA,98032,"Received on: 2025-01-03<p/> Description: Black / Brown Spayed Female German Shepherd / Mix Dog<p/> Age: 4 YEARS 2 MONTHS<p/> Adoption Fee: $30<p/> Current Location: In RASKC Foster Home <p/>Hi! My name is Rosie and I am available for adoption.<p/><p/>I was brought in by a good Samaritan on 05/17/24.<p/><p/>I weigh 60.30lbs and am considered a ""large breed"" dog.<p/><p/>This is a note about me from my foster parent: ""Rosie is a nice girl!  She is a snuggle pup who wants to be with her person.  She's a mostly mellow girl who only needs a moderate amount of daily exercise.  She is friendly with other dogs, although smaller dogs may find her too rambunctious.  She does need a special diet for her allergies, and takes a daily medication.  She hopes to find a family who will buy her some fashionable pajamas and a nice raincoat - Rosie is a fair-weather girl!  She does cry when she's left alone so I don't think she'd be a good candidate for apartment living.""<p/><p/><p/>",Dog,German Shepherd / Mix,708686
ADOPTABLE,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Titan,3 YEARS 8 MONTHS,Neutered Male,Gray / White,1-Aug-25,Received on,,,WA,,"Received on: 2025-08-01<p/> Description: Gray / White<p/>  Neutered Male American Pit Bull Terrier Dog<p/> Age: 3 YEARS 8 MONTHS<p/> Adoption Fee: $30.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Titan and I am available for adoption.<p/><p/>I was brought in by my previous owner on 08/01/25 because they were moving. I lived in a home with older children. My previous owner described me as shy, and loving.<p/><p/>I am a spirited dog with a fun-loving personality! I am still working on my manners, so I would do best with a family who is willing to work with me and help me become the best dog I can be!<p/><p/>I weigh 71 lbs and am considered a [""large breed"", ""medium breed"", ""small breed""] dog.<p/><p/>I am an independent dog who likes to do my own thing!<p/><p/>Because of my shy nature, I would do best in a calm, quiet home.<p/><p/>I would do best in a home with older children.<p/><p/><p/>",Dog,American Pit Bull Terrier,709899
FOUND,,Cinnamon,1 YEAR 4 MONTHS,Neutered Male,Brn Tabby,21-Jul-25,Received on,4200 block of  S 172ND ST,SEATAC,WA,98188,Received on: 2025-07-21<p/> Found Near: 4200 block of  S 172ND ST<p/> Description: Brn Tabby Neutered Male Domestic Shorthair Cat<p/> Age: 1 YEAR 4 MONTHS<p/>,Deceased Cat,Domestic Shorthair,710740
ADOPTABLE,In RASKC Foster Home,Geno,5 YEARS -1 MONTHS,Neutered Male,Tricolor,23-Apr-25,Received on,21615 64TH AVE S,KENT,WA,98032,"Received on: 2025-04-23<p/> Description: Tricolor Neutered Male German Shepherd / Mix Dog<p/> Age: 5 YEARS -1 MONTHS<p/> Adoption Fee: $30<p/> Current Location: In RASKC Foster Home <p/>Hi! My name is Geno and I am available for adoption.<p/><p/>I weigh 55.0 lbs and am considered a ""large breed"" dog.<p/><p/>I have been in a wonderful foster home while I await for my forever family. My foster says this: Geno, is a cheerful, playful pup who wants nothing more than someone he can devote himself to. He is smart and wants to please. He loves all humans.  He has great house manners and is very food-motivated, which helps with training. Although he is anxious around other dogs, he has made much progress since being in a calm home environment. If you can bring some patience, kindness, and treats, you will be rewarded with a loving companion for life.<p/> <p/>I am motivated by many things like toys, treats and people! I will happily ""sit"" and ""shake"" for all of them :)<p/><p/>I am a spirited dog with a fun-loving personality! I am still working on my manners, so I would do best with a family who is willing to work with me and help me become the best dog I can be!<p/>",Dog,German Shepherd / Mix,714896
